Farmaco;Masa Molar Fármaco;Parametro de Solubilidad del Farmaco;Temperatura de Fusión (K);Entalpia de Fusión (kJ/mol);Volumen Molar del Fármaco;Solvente 1;Masa Molar Solv 1;Solvente 2;Masa Molar Solv 2;PS Solvente 1;PS Solvente 2;Volumen Molar Solventes 1;Volumen Molar Solventes 2;x_1;x_2;w_1;w_2;Temperatura de Estudio;x_3
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,385525824;0,614474176;0,3;0,7;278,15;0,00054200
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,385525824;0,614474176;0,3;0,7;283,15;0,00064500
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,385525824;0,614474176;0,3;0,7;288,15;0,00076900
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,385525824;0,614474176;0,3;0,7;293,15;0,00092800
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,385525824;0,614474176;0,3;0,7;298,15;0,00108000
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,385525824;0,614474176;0,3;0,7;303,15;0,00128000
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,385525824;0,614474176;0,3;0,7;308,15;0,00153000
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,385525824;0,614474176;0,3;0,7;313,15;0,00184000
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,385525824;0,614474176;0,3;0,7;318,15;0,00212000
Sulfamethazine;278,33;27,42;468,95;39,2;179;Acetonitrile;41,05;1-Propanol;60,0952;24,8;24,5;53;75;0,440803909;0,559196091;0,35;0,65;278,15;0,00058900
